Observer,HM4.Order,HM4.Family,HM4.Latin.name,HM4.Common.name,HM4.Subspecies,Site,State.Province,County.District,Country,Captivity.details,Song_source,Catalog_number,Song_Locality,Signal_Type,No_notes_in_call_bout.song,No_of_Note_Types,IntraIndiv_variation,Single.Note.Number.Of.Notes,Single.Note.Duration.Of.Songs,Single.Note.Song.Pace,Note count the same as number of notes in song?,Edited by,Remarks,Note_Min_Freq_Average,Note_Min_Freq_Variance,Note.Max.Freq.Average,Note.Max.Freq.Variance,Note_Length_Average,Note_Length_Variance,Note_Bandwidth_Average,Note.Bandwidth.Variance,Note_Peak_Freq_Average,Note.Peak.Freq.Variance,Song_Peak_Freq,Song_Min_Freq,Song_Max_Freq,Duration.1st.note,Max.Freq.1st.note,Song.Bandwidth,Note.Count,Song.Duration,Duration.middle.note,Max.freq.middle.note,Duration.Final.Note,Max.Freq.Final.Note,Duration.longest.note,Note_Slope_Average,Note.Slope.Variance,Max.Note.Slope,Pause.Length.Average,Pause.Length.Variance,Note.Slope.first.note,Note.Slope.middle.note,Note.Slope.final.note,Duration.longest.pause,Pace1,Pace2,Pace3,Pace_Change_1,Pace_Change_2,Note_Rate,Freq_Change_1,Freq_Change_2,Dur_change_1,Dur_Change_2,Note_Slope_Ch1,Note_Slope_Ch2,Note_5._Freq,Note_95._Freq,Song_Min_Freq_5,Song_Max_Freq_95,Song.Freq.5..Variance,Song.Freq.95..Variance,Note_Bandwidth_90,Note.Bandwidth.90..Variance,Song_Bandwidth2,Note_Slope_2_Average,Note.Slope.2.Variance,Note_Slope_2_Max,X95..Freq1,X95..Freq2,X95..Freq3,X90..Bandwidth1,X90..Bandwidth2,X90..Bandwidth3,Peak.Freq1,Peak.Freq2,Peak.Freq3,Note.Slope1,Note.Slope2,Note.Slope3,Max.Power1,Max.Power2,Max.Power3
CW,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC337653,"Crater Lakes National Park (near Lake Barrine), Queensland",,8,1,N/A,,,,Y,,,185.35,376.01,342.36,394.87,0.07,0.00,157.00,304.29,287.06,240.58,281.20,157.00,375.10,0.07,357.60,218.10,8.00,3.26,0.07,340.20,0.08,357.60,0.08,2143.89,102427.51,2822.06,0.38,0.03,2822.06,2031.51,1723.46,0.62,4.69,2.90,2.54,0.62,0.87,2.46,0.95,1.05,1.07,1.11,0.72,0.85,210.95,322.24,187.50,375.00,549.90,790.48,111.35,513.34,187.50,1512.68,92647.31,2067.65,296.83,328.10,351.55,109.40,109.40,117.20,281.20,296.83,281.20,1570.14,1513.00,1426.00,104.80,102.57,96.80
YZ,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC389278,"Dharug National Park (near Gunderman), New South Wales",Song,2,2,N/A,,,,Y,,,116.90,51.84,420.10,4802.49,0.39,0.06,303.15,5844.60,236.85,464.40,258.40,109.70,489.40,0.15,350.80,379.70,2.00,0.85,0.15,350.80,0.63,489.40,0.63,1072.36,220729.51,1542.18,0.07,0.00,1542.18,1542.18,602.54,0.07,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.36,1.00,1.40,1.00,4.29,1.00,0.39,193.80,301.50,172.30,301.50,462.25,0.00,107.65,464.40,129.20,395.40,36220.74,585.71,301.50,301.50,#DIV/0!,86.10,129.20,#DIV/0!,258.40,215.30,#DIV/0!,585.71,205.08,#DIV/0!,112.60,110.50,#DIV/0!
YZ,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC434108,"Maleny, Sunshine Coast Regional, Queensland",,4,1,N/A,,,,Y,,,158.43,120.94,346.43,221.74,0.10,0.00,188.05,666.01,258.40,0.00,258.40,141.20,370.30,0.09,335.90,229.10,4.00,0.61,0.12,332.10,0.06,370.30,0.12,2140.82,782623.49,3636.51,0.07,0.00,1931.03,1391.53,3636.51,0.08,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6.61,0.99,1.12,1.36,0.53,0.72,2.61,215.30,312.25,215.30,344.50,0.00,346.69,96.88,348.30,129.20,1123.41,298218.38,2050.79,301.50,301.50,323.00,86.10,86.10,107.65,258.40,258.40,258.40,989.66,729.66,1387.16,104.70,107.90,100.10
YZ,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC352581,"Marrdja Boardwalk, Daintree National Park, Queensland",,6,2,N/A,,,,Y,,,77.65,93.47,470.75,155.18,0.10,0.01,393.10,315.81,257.80,4942.09,328.10,66.10,492.20,0.26,479.00,426.10,6.00,1.48,0.07,452.60,0.07,492.20,0.26,5129.33,3414347.95,7730.00,0.18,0.01,1568.09,5230.56,6087.14,0.34,5.25,5.41,4.12,1.03,0.76,4.05,0.94,1.09,0.28,0.97,3.34,1.16,164.05,414.08,140.60,421.90,549.90,305.50,249.98,1218.88,281.30,3258.37,1879648.96,5624.00,421.90,421.90,398.45,281.20,257.80,210.95,187.50,257.80,328.10,3359.08,3474.86,2941.18,104.80,105.50,110.05
YZ,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC528190,"Butchers Creek, Tablelands Regional, Queensland",,4,1,N/A,,,,Y,,,90.85,29.95,614.40,21.78,0.06,0.00,523.55,73.51,355.33,33730.35,559.90,85.90,621.00,0.07,621.00,535.10,4.00,0.37,0.07,607.80,0.05,614.40,0.07,8768.26,1135142.03,10362.75,0.04,0.00,7772.06,7826.15,10362.75,0.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10.72,0.98,1.01,0.96,0.78,1.01,1.32,172.30,559.90,172.30,559.90,0.00,0.00,387.60,0.00,387.60,6486.46,542738.41,7600.00,559.90,559.90,559.90,387.60,387.60,387.60,172.30,172.30,538.35,5700.00,5963.08,7141.38,91.50,91.50,93.75
YZ,Galliformes,Megapodiidae,Alectura lathami,Australian Brush-turkey,lathami,"Brisbane, Figtree Pocket",Queensland,,Australia,,XC,XC517533,"Black Mountain Road, Kuranda",Call,2,1,N/A,,,,Y,,,141.35,61.62,693.00,96.04,0.26,0.00,551.65,3.80,421.90,0.00,421.90,133.50,702.80,0.28,702.80,569.30,2.00,1.57,0.28,702.80,0.25,683.20,0.28,2112.03,12876.59,2225.51,1.05,0.00,1998.56,1998.56,2225.51,1.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.27,1.00,0.97,1.00,0.89,1.00,1.11,187.50,609.40,187.50,609.40,0.00,0.00,421.90,0.00,421.90,1615.60,8555.55,1708.10,609.40,609.40,#DIV/0!,421.90,421.90,#DIV/0!,421.90,421.90,#DIV/0!,1523.10,1708.10,#DIV/0!,75.30,77.40,#DIV/0!
CW,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,domestica,,,,,captive bird,XC,XC340598,"Jyväskylä, Central Finland",Call,1,1,0,5,3.581,1.396258028,Y,JT,Resampled as single-note,2372.70,0.00,2927.30,0.00,0.10,0.00,554.60,0.00,2799.30,0.00,2799.30,2372.70,2927.30,0.10,2927.30,554.60,1.00,0.10,0.10,2927.30,0.10,2927.30,0.10,5717.53,0.00,5717.53,#DIV/0!,#DIV/0!,5717.53,5717.53,5717.53,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,2670.10,2842.40,2670.10,2842.40,0.00,0.00,172.30,0.00,172.30,1776.29,0.00,1776.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,domestica,,,,,captive bird,XC,XC287835,"Hersfeld-Rotenburg (near Wildeck), Kassel, Hessen",Song,1,1,0,2,1.006,1.988071571,Y,JT,Resampled as single-note,2711.60,0.00,3189.20,0.00,0.12,0.00,477.60,0.00,2971.60,0.00,2971.60,2711.60,3189.20,0.12,3189.20,477.60,1.00,0.12,0.12,3189.20,0.12,3189.20,0.12,4153.04,0.00,4153.04,#DIV/0!,#DIV/0!,4153.04,4153.04,4153.04,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,1.00,1.00,1.00,1.00,1.00,1.00,2885.40,3143.80,2885.40,3143.80,0.00,0.00,258.40,0.00,258.40,2246.96,0.00,2246.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YZ,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,domestica,,,,,captive bird,XC,XC495835,"Cheboksary, gorod Cheboksary, Chuvash Republic, Russian Federation",Call,1,1,0,4,2.374,1.684919966,Y,,,1978.30,NA,2296.20,NA,0.15,NA,317.80,NA,2239.50,NA,2239.50,1978.30,2296.20,0.15,2296.20,317.90,1.00,0.15,0.15,2296.20,0.15,2296.20,0.15,2147.30,NA,2147.30,NA,NA,2147.30,2147.30,2147.30,NA,NA,NA,NA,NA,NA,6.76,NA,NA,NA,NA,NA,NA,2067.20,2239.50,2067.20,2239.50,NA,NA,172.30,NA,172.30,1164.19,NA,1164.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,domestica,,,,,captive bird,XC,XC495822,"Cheboksary, gorod Cheboksary, Chuvash Republic, Russian Federation",Call,1,1,0,5,3.646,1.37136588,Y,,,1534.50,NA,2878.60,NA,0.07,NA,1344.10,NA,2067.20,NA,2067.20,1534.50,2878.60,0.07,2878.60,1344.10,1.00,0.07,0.07,2878.60,0.07,2878.60,0.07,18163.51,NA,18163.51,NA,NA,18163.51,18163.51,18163.51,NA,NA,NA,NA,NA,NA,13.51,NA,NA,NA,NA,NA,NA,1636.50,2584.00,1636.50,2584.00,NA,NA,947.50,NA,947.50,12804.05,NA,12804.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
