"","species","Annotated","Number of samples","Observer","HM4.Order","HM4.Family","HM4.Latin.name","HM4.Common.name","HM4.Subspecies","No_notes_in_call_bout.song","No_of_Note_Types","IntraIndiv_variation","IntraSpecific_variation","Single.Note.Song.Pace","Note_Min_Freq_Average","Note_Min_Freq_Variance","Note.Max.Freq.Average","Note.Max.Freq.Variance","Note_Length_Average","Note_Length_Variance","Note_Bandwidth_Average","Note.Bandwidth.Variance","Note_Peak_Freq_Average","Note.Peak.Freq.Variance","Song_Peak_Freq","Song_Min_Freq","Song_Max_Freq","Duration.1st.note","Max.Freq.1st.note","Song.Bandwidth","Note.Count","Song.Duration","Duration.middle.note","Max.freq.middle.note","Duration.Final.Note","Max.Freq.Final.Note","Duration.longest.note","Note_Slope_Average","Note.Slope.Variance","Max.Note.Slope","Pause.Length.Average","Pause.Length.Variance","Note.Slope.first.note","Note.Slope.middle.note","Note.Slope.final.note","Duration.longest.pause","Pace1","Pace2","Pace3","Pace_Change_1","Pace_Change_2","Note_Rate","Freq_Change_1","Freq_Change_2","Dur_change_1","Dur_Change_2","Note_Slope_Ch1","Note_Slope_Ch2","Note_5._Freq","Note_95._Freq","Song_Min_Freq_5","Song_Max_Freq_95","Song.Freq.5..Variance","Song.Freq.95..Variance","Note_Bandwidth_90","Note.Bandwidth.90..Variance","Song_Bandwidth2","Note_Slope_2_Average","Note.Slope.2.Variance","Note_Slope_2_Max","X95..Freq1","X95..Freq2","X95..Freq3","X90..Bandwidth1","X90..Bandwidth2","X90..Bandwidth3","Peak.Freq1","Peak.Freq2","Peak.Freq3","Note.Slope1","Note.Slope2","Note.Slope3","Max.Power1","Max.Power2","Max.Power3"
"1","Acanthisitta chloris","yes",6,"CA","Passeriformes","Acanthisittidae","Acanthisitta chloris","Rifleman",NA,1,1,"NA",NA,"2.18761861867233",9563.7,0,10946.2333333333,0,0.0731666666666667,0,1382.56666666667,0,10418.0666666667,0,10418.0666666667,9563.7,10946.2333333333,0.0731666666666667,10946.2333333333,1382.53333333333,1,0.0731666666666667,0.0731666666666667,10946.2333333333,0.0731666666666667,10946.2333333333,0.0731666666666667,26809.5204645621,0,26809.5204645621,"NaN","NaN",26809.5204645621,26809.5204645621,26809.5204645621,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,10060.0166666667,10790.5,10060.0166666667,10790.5,0,0,730.483333333333,0,730.483333333333,12824.4210686134,0,12824.4210686134,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"2","Aegotheles bennettii","yes",1,"CW+JT","Caprimulgiformes","Aegothelidae","Aegotheles bennettii","Barred Owlet-nightjar","bennettii",1,1,"NA","NA","0.308008213552361",1111.2,0,2810.7,0,0.271,0,1699.5,0,1808.8,0,1808.8,1111.2,2810.7,0.271,2810.7,1699.5,1,0.271,0.271,2810.7,0.271,2810.7,0.271,6271.21771217712,0,6271.21771217712,"NaN","NaN",6271.21771217712,6271.21771217712,6271.21771217712,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1593.5,2411.7,1593.5,2411.7,0,0,818.3,0,818.2,3019.55719557196,0,3019.55719557196,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"3","Alca torda","yes",3,"JT","Charadriiformes","Alcidae","Alca torda","Razorbill",NA,1,1,NA,NA,"0.942638779220887",315.166666666667,0,2094.56666666667,0,0.595666666666667,0,1779.36666666667,0,1153.23333333333,0,1153.23333333333,315.166666666667,2094.56666666667,0.595666666666667,2094.56666666667,1779.4,1,0.595666666666667,0.595666666666667,2094.56666666667,0.595666666666667,2094.56666666667,0.595666666666667,3232.29565274359,0,3232.29565274359,"NaN","NaN",3232.29565274359,3232.29565274359,3232.29565274359,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,504.2,1725,504.2,1725,0,0,1220.8,0,1220.8,2366.86923117949,0,2366.86923117949,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"4","Alopecoenas beccarii","yes",4,"JT","Columbiformes","Columbidae","Alopecoenas beccarii","Bronze Ground Dove",NA,1,1,NA,NA,"1.682283257",400.6,0,562.35,0,0.19,0,161.8,0,506.05,0,506.05,400.6,562.35,0.19,562.35,161.75,1,0.19,0.19,562.35,0.19,562.35,0.19,886.587906775,0,886.587906775,"NaN","NaN",886.587906775,886.587906775,886.587906775,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,452.2,549.075,452.2,549.075,0,0,96.875,0,96.875,520.496027675,0,520.496027675,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"5","Anas platyrhynchos","yes",5,"CW+JT","Anseriformes","Anatidae","Anas platyrhynchos","Mallard","domestica",1,1,"0","NA","1.56069549120003",1959.56,0,2791.42,0,0.126,0,831.84,0,2394.5,0,2394.5,1959.56,2791.42,0.126,2791.42,831.86,1,0.126,0.126,2791.42,0.126,2791.42,0.126,7531.27601245351,0,7531.27601245351,"NaN","NaN",7531.27601245351,7531.27601245351,7531.27601245351,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,2127.46,2652.9,2127.46,2652.9,0,0,525.44,0,525.44,4696.97115434299,0,4696.97115434299,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"6","Anser cygnoid","yes",1,"JT","Anseriformes","Anatidae","Anser cygnoid","Swan Goose",NA,1,1,NA,NA,"1.434205809",1133,0,2375,0,0.094,0,1241.9,0,1359.4,0,1359.4,1133,2375,0.094,2375,1242,1,0.094,0.094,2375,0.094,2375,0.094,13211.70213,0,13211.70213,"NaN","NaN",13211.70213,13211.70213,13211.70213,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1312.5,1968.8,1312.5,1968.8,0,0,656.2,0,656.3,6980.851064,0,6980.851064,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"7","Aptenodytes forsteri","yes",1,"JT","Sphenisciformes","Spheniscidae","Aptenodytes forsteri","Emperor Penguin",NA,1,1,NA,NA,"0.270635995",746.1,0,1187.6,0,0.636,0,441.6,0,1076.7,0,1076.7,746.1,1187.6,0.636,1187.6,441.5,1,0.636,0.636,1187.6,0.636,1187.6,0.636,694.3396226,0,694.3396226,"NaN","NaN",694.3396226,694.3396226,694.3396226,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,818.3,1119.7,818.3,1119.7,0,0,301.5,0,301.4,474.0566038,0,474.0566038,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"8","Aquila chrysaetos","yes",5,"JT","Accipitriformes","Accipitridae","Aquila chrysaetos","Golden Eagle",NA,1,1,NA,NA,"3.44599569125863",843.86,0,1607.28,0,0.0924,0,763.4,0,1417.22,0,1417.22,843.86,1607.28,0.0924,1607.28,763.42,1,0.0924,0.0924,1607.28,0.0924,1607.28,0.0924,8574.36253535999,0,8574.36253535999,"NaN","NaN",8574.36253535999,8574.36253535999,8574.36253535999,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1199.08,1504.12,1199.08,1504.12,0,0,305.04,0,305.04,3119.48648134155,0,3119.48648134155,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"9","Asarcornis scutulata","yes",1,"JT","Anseriformes","Anatidae","Asarcornis scutulata","White-winged Duck",NA,1,1,NA,NA,"1.11495149960977",1093.9,0,1355.8,0,0.441,0,261.9,0,1248.9,0,1248.9,1093.9,1355.8,0.441,1355.8,261.9,1,0.441,0.441,1355.8,0.441,1355.8,0.441,593.877551020408,0,593.877551020408,"NaN","NaN",593.877551020408,593.877551020408,593.877551020408,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,1205.9,1292,1205.9,1292,0,0,86.1,0,86.0999999999999,195.238095238095,0,195.238095238095,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
"10","Buceros rhinoceros","yes",6,"CW+JT","Bucerotiformes","Bucerotidae B (hornbills)","Buceros rhinoceros","Rhinoceros Hornbill","silvestris",1,1,"0","NA","0.680790512918352",763.7,0,1387.75,0,0.281333333333333,0,624.066666666667,0,1069.1,0,1069.1,763.7,1387.75,0.281333333333333,1387.75,624.05,1,0.281333333333333,0.281333333333333,1387.75,0.281333333333333,1387.75,0.281333333333333,2113.73250191566,0,2113.73250191566,"NaN","NaN",2113.73250191566,2113.73250191566,2113.73250191566,0,"NaN","NaN","NaN","NaN","NaN",NA,1,1,1,"1",1,1,909.266666666667,1273.05,909.266666666667,1273.05,0,0,363.783333333333,0,363.783333333333,1237.9550777044,0,1237.9550777044,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0"
