"","b10k.species","b10k.unidirectional","b10k.migration","b10k.habitat","b10k.m_mass","b10k.unsexed_mass","b10k.s_bond_stab","b10k.territory","b10k.bill_nares","b10k.bill_total_culmen","b10k.bill_width","b10k.bill_depth","scientific","b10k.mass","territory","s_bond_stab","bill_PC1","bill_PC2","binary_habitat","binary_unidirectional","binary_territory","binary_s_bond_stab","binary_migration"
"1","Acanthisitta chloris",0,1,1,6.3,6.95,"strong","weak",1.84451003461358,12.2,2.625,2.375,"Acanthisitta chloris",1.84054963339749,2,3,8.14019301432909,1.16565684558919,1,0,1,3,1
"2","Acrocephalus arundinaceus",2,3,3,32.3,30,"none","weak",2.55334381134123,22.9,4.675,5.3,"Acrocephalus arundinaceus",3.47506723022861,2,1,4.16427113577533,0.994622146199885,3,3,1,1,3
"3","Aegithalos caudatus",0,1,2,9.2,8.6,"weak","weak",1.44101926080914,7.02,2.6,3.325,"Aegithalos caudatus",2.21920348405499,2,2,9.03487284733092,-0.608863438348374,1,0,1,1,1
"4","Aegotheles bennettii",0,1,1,47.25,53.625,"strong","strong",1.71829231734618,15.625,4.375,3.85,"Aegotheles bennettii",3.85545265393975,3,3,6.43445081750689,-0.116742500833221,1,0,3,3,1
"5","Agapornis roseicollis",0,1,2,55.4,54.5,"strong","none",2.84636181689972,19.45,10.65,17.925,"Agapornis roseicollis",4.01457959375324,1,3,0.97012922043804,-1.89906991043911,1,0,1,3,1
"6","Agelaius phoeniceus",3,3,3,65.3,52.4,"weak","weak",2.73328467206407,22.63333333,5.583333333,8.883333333,"Agelaius phoeniceus",4.17899203628239,2,2,2.90395002414151,0.232122418264895,3,3,1,1,3
"7","Alaudala cheleensis",0,2,3,NA,22.2,"strong","weak",1.96711235670592,11.375,3.825,4.525,"Calandrella cheleensis",3.10009228887823,2,3,NA,NA,3,0,1,3,3
"8","Alca torda",0,3,3,734,726,"strong","none",3.04808750388792,45.05,9.3,23.25,"Alca torda",6.59850902861452,1,3,-0.783978789974969,-0.414252742394036,3,0,1,3,3
"9","Aleadryas rufinucha",0,1,1,NA,40.5,"strong","strong",2.41591377830105,20.325,4.85,7.35,"Aleadryas rufinucha",3.70130197411249,3,3,3.98320355376371,0.160242943809209,1,0,3,3,1
"10","Alectura lathami",3,1,1,2520,2340,"none","none",3.03974915897077,37.825,12,17.45,"Alectura lathami",7.83201418050547,1,1,-0.451491864257051,-0.791587455325448,1,3,1,1,1
"11","Alopecoenas beccarii",0,1,1,94.8,65.4,"weak","weak",2.2082744135228,15.575,2.075,2.8,"Gallicolumba beccarii",4.55176940926098,2,2,NA,NA,1,0,1,1,1
"12","Amazona guildingii",0,1,1,NA,646,"strong","none",3.51154543883102,41.1,22.225,34.225,"Amazona guildingii",6.4707995037826,1,3,-3.13380440117742,-2.02282345398399,1,0,1,3,1
"13","Anas platyrhynchos",1,2,3,1246,1082,"weak","none",3.71296212462989,56.175,20.75,17.825,"Anas platyrhynchos",7.1276936993474,1,2,-2.79903106356663,-0.338917467471194,3,3,1,1,3
"14","Anas zonorhyncha",0,2,3,NA,NA,"weak","none",3.72025698980619,59.9,20.875,15.825,"Anas poecilorhyncha",NA,1,2,NA,NA,3,0,1,1,3
"15","Anhinga anhinga",0,1,3,NA,1235,"weak","none",4.36691299686383,83.72,11.74,14.24,"Anhinga anhinga",7.11882624906208,1,2,-3.08931833737299,2.39107758427267,3,0,1,1,1
"16","Anhinga rufa",0,1,3,NA,1480.06,"weak","none",4.24348270022581,84.975,9.125,12.05,"Anhinga rufa",7.29983790647696,1,2,-2.32265351254065,2.92051606373314,3,0,1,1,1
"17","Anser cygnoid",0,3,3,3575,3512.5,"strong","none",3.74832691275736,90.325,23.825,20.3,"Anser cygnoides",8.18172045512811,1,3,NA,NA,3,0,1,3,3
"18","Anseranas semipalmata",3,2,3,2766,2418.5,"strong","none",3.74655856570061,80.175,23.45,20.9,"Anseranas semipalmata",7.9251575122247,1,3,-3.81568735435612,-0.155165406658469,3,3,1,3,3
"19","Anthoscopus minutus",0,1,3,NA,6.6,"strong","weak",1.89461685466776,8.4,2.55,3.6,"Anthoscopus minutus",1.88706964903238,2,3,8.06967209279382,0.167584544272396,3,0,1,3,1
"20","Antrostomus carolinensis",0,3,2,109.9,109,"weak","weak",2.01823081063494,15.2,6.225,4.1,"Caprimulgus carolinensis",4.69957086140958,2,2,NA,NA,1,0,1,1,3
"21","Apaloderma vittatum",0,1,1,53.8,55,"strong","weak",2.27726728500976,14.875,8.175,7.975,"Apaloderma vittatum",3.98527346716774,2,3,3.74667893195607,-1.53321613309255,1,0,1,3,1
"22","Aphelocoma coerulescens",0,1,2,79.3,77.15,"strong","strong",2.87356463957978,28.8,7.925,8.95,"Aphelocoma coerulescens",4.3732381286408,3,3,1.81236954174213,0.152495538398414,1,0,3,3,1
"23","Aptenodytes forsteri",0,2,3,38200,33850,"weak","none",3.97930775223374,94.2,13.86,17.74,"Aptenodytes forsteri",10.5505907945947,1,2,-3.33999355118474,1.52696448792898,3,0,1,1,3
"24","Apteryx australis",0,1,1,2178.666667,2320.51,"strong","strong",0.693147180559945,125.15,4.525,5.675,"Apteryx australis",7.68646834802473,3,3,3.92989780586374,1.34686261189503,1,0,3,3,1
"25","Apteryx haastii",1,1,2,2151,2022.68,"strong","strong",1.83736998048011,150.62,5.02,5.82,"Apteryx haastii",7.67368812926773,3,3,1.94444461759205,2.8333179672182,1,3,3,3,1
"26","Apteryx mantelli",0,1,1,2120,2330,"strong","strong",1.47017584510059,140.575,4.3,4.475,"Apteryx mantelli",7.65917136766606,3,3,3.16075684589065,2.87792324797894,1,0,3,3,1
"27","Apteryx owenii",0,1,1,1135,1238.29,"strong","strong",0.693147180559945,87.375,3.1,3.325,"Apteryx owenii",7.0343879299155,3,3,5.85439053057948,2.12658794895795,1,0,3,3,1
"28","Apteryx rowi",0,1,1,NA,NA,"strong","strong",0.8754687373539,157,4.7,5.3,"Apteryx rowi",NA,3,3,NA,NA,1,0,3,3,1
"29","Aquila chrysaetos",0,2,3,3736,4247.97,"strong","weak",3.6099038851786,56.75,18.5,28.3625,"Aquila chrysaetos",8.22577079934873,2,3,-3.2062118214378,-0.830766828699387,3,0,1,3,3
"30","Aramus guarauna",3,1,3,1240,1080,"strong","strong",3.4773865200197,55.425,9.175,11.575,"Aramus guarauna",7.12286665859908,3,3,-0.600789102949254,1.34378579290638,3,3,3,3,1
"31","Arcanator orostruthus",0,1,1,32.5,32.7,"strong","strong",2.31253542384721,19.3,3.5,3.9,"Modulatrix orostruthus",3.48124008933569,3,3,NA,NA,1,0,3,3,1
"32","Ardeotis kori",3,1,3,11300,8460,"none","none",4.13756368134208,108.95,20.925,20.675,"Ardeotis kori",9.33255800470043,1,1,-4.61853939484442,1.02609893664381,3,3,1,1,1
"33","Arenaria interpres",0,3,3,134,136,"strong","none",2.75206708651898,25.875,3.875,5.425,"Arenaria interpres",4.89783979995091,1,3,3.9588376865983,1.73631842962166,3,0,1,3,3
"34","Artamus cinereus",0,1,2,NA,35.6,"strong","weak",2.59897910604785,21.75,5.675,7.55,"Artamus cinereus",3.57234563785798,2,3,3.36253842581865,0.17963271111919,1,0,1,3,1
"35","Asarcornis scutulata",0,1,3,3400,3000,"none","none",3.77390970329851,63.7,23.35,18.675,"Cairina scutulata",8.13153071060425,1,1,NA,NA,3,0,1,1,1
"36","Atlantisia rogersi",0,1,2,41.8,39.35,"strong","strong",2.53963154947725,21.225,2.625,4.2,NA,3.73289633953071,3,3,NA,NA,1,0,3,3,1
"37","Atrichornis clamosus",3,1,2,51.8,43.05,"strong","strong",2.11021320034659,19.93333333,3.3,5.1,"Atrichornis clamosus",3.94739014926544,3,3,5.53996054286611,0.897302573126872,1,3,3,3,1
"38","Balaeniceps rex",0,1,3,6700,5984,"weak","none",5.15905529921453,201.75,91.375,88.9,NA,8.80986280537906,1,2,NA,NA,3,0,1,1,1
"39","Balearica regulorum",0,1,3,NA,3772,"strong","weak",3.58490686373096,67.65,16.5,17.925,"Balearica regulorum",8.23536064375335,2,3,-2.58444784844764,0.196240043908087,3,0,1,3,1
"40","Baryphthengus martii",0,1,1,159.2,165.5,"strong","strong",3.50063127876008,48.39,11.43636364,13.58181818,"Baryphthengus martii",5.07016127341028,3,3,-0.990606793890138,0.56573088859714,1,0,3,3,1
