"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Sapayoa_aenigma",-1.43781241409054,-4.12162716443373,2.20449810180203,-1.20977352953508,-1.77288022305049,0.272337671428973,0.202125927505701,0.150819519150645
"Calyptomena_viridis",-6.09834835062409,-5.81922189584296,1.25931875897208,0.423708527596903,-1.22245285459793,0.222223988563873,-0.377044765472276,-0.398572078023682
"Smithornis_capensis",-8.43029517650842,-6.53885734906159,3.72781239054596,-0.787183924697665,-2.3247154613164,0.364680988236272,0.0785160391705126,-0.00527620336635087
"Pitta_sordida",-6.2911322283449,-3.86116790062695,-0.21073039853507,-0.0643308361559332,-2.59658588842644,0.376086219962628,-1.27474383405655,0.334627411773245
"Serilophus_lunatus",-3.83775432130605,-2.03606913906534,0.936412548867428,0.273614154101506,0.134163133910379,0.468460955705248,-0.801172245547422,0.0556437894443269
"Neodrepanis_coruscans",1.42875639415209,-2.22592574470768,-0.160599580090986,-2.19071816338099,-1.31528657568931,0.232237724212713,-0.113349620281487,0.20542452188538
"Oxyruncus_cristatus",-2.33281817608548,-0.111368069575202,-6.57586804645678,-0.092548143962624,-2.05412525354946,0.78332192421763,-0.0422552181767011,-0.612723649455486
"Tachuris_rubrigastra",-3.02023275692312,-5.71274570708701,0.204948286965038,0.47185439382435,-1.54817964462143,0.191129575591499,-0.228254459826115,-0.3311163533473
"Mionectes_macconnelli",-2.52446233295846,-5.71506141948356,-0.471289951071406,0.944371202157245,-1.26984473443964,0.20039178905637,-0.447399217605172,-0.26666763162574
"Neopipo_cinnamomea",0.018970657620212,-4.99944625306593,-1.8320984815135,-0.451673255831654,0.586302676680847,-0.019865557133767,-0.251550822630901,0.0967472866471996
"Tyrannus_savana",0.660038804830322,-4.6629158040668,0.679033011622561,0.275967753416955,-1.34801650998034,0.304604269028594,0.0915655482242311,-0.0604996602305397
"Piprites_chloris",-5.18313929778481,-5.52351914286217,0.377250399000489,-0.729549146310162,-0.521043420521982,0.0884551821144973,-0.313411263799371,0.0676310187608191
"Pachyramphus_minor",-0.353392400771095,-5.55108733237034,-2.28240228579531,0.0264560254346853,-1.29667699831403,1.04873878497693,-1.32997710066731,0.137165410254051
"Onychorhynchus_coronatus",-5.01208185673636,-0.115107663433161,-2.04474589826015,1.62651871525136,-1.8931155308128,-0.0766178817507466,0.293082427920507,0.452117735952802
"Cephalopterus_ornatus",-16.7348277023034,-4.77709970608002,-2.52720645931063,0.92363387160371,-2.1615013406258,0.285843130628714,-0.158049811418115,-0.122875452969801
"Manacus_manacus",-1.55667575429507,-5.43914968416562,0.468934769466244,2.16456197066871,-5.32998294954345,-2.26458564192599,-1.0333958797922,0.197399350053738
"Lepidothrix_coronata",-2.19299999490356,-5.73569815290616,1.59422157425755,1.28024052244898,-2.2917682865952,0.906094582382213,-0.634005044017369,0.0799309641107264
