"","traits.scientific","scale.traits_log.log.traits.No_of_Note_Types...center...TRUE..","scale.traits_log.log.traits.Song.Bandwidth...center...TRUE..scale...TRUE.","scale.traits_log.log.traits.Note.Count...center...TRUE..scale...TRUE.","scale.traits_log.log.as.numeric.traits.Rate_Pace....center...TRUE.."
"1","Acanthisitta chloris",-1.50365336892113,-0.81764673934319,-2.23201887623698,-0.847671700556526
"2","Cephalopterus ornatus",-1.50365336892113,-3.63956544477156,-2.23201887623698,-3.83706205726551
"3","Cisticola juncidis",-1.50365336892113,0.137419617040724,-2.23201887623698,-1.09083204324654
"4","Cnemophilus loriae",-1.50365336892113,-1.9342147774351,-2.23201887623698,-2.92425093823327
"5","Dicaeum eximium",-1.50365336892113,-2.13792094215476,-2.23201887623698,-0.345081533450876
"6","Dulus dominicus",-1.50365336892113,0.81463118870871,-2.23201887623698,-1.42196856118832
"7","Platysteira castanea",-1.50365336892113,-2.11189668822939,-2.23201887623698,-1.25587384419042
"8","Melospiza melodia",0.848954730081927,1.08964426893176,0.743054929471903,0.453549443794792
"9","Onychorhynchus coronatus",-1.50365336892113,-0.517850238988113,-2.23201887623698,-2.66142397456926
"10","Oxyruncus cristatus",-1.50365336892113,0.394097102086432,-2.23201887623698,-4.88699089470903
"11","Panurus biarmicus",-1.50365336892113,0.290981935946866,-2.23201887623698,-0.896655403607357
"12","Passer domesticus",-1.50365336892113,0.225635763345894,-2.23201887623698,-1.43559457735634
"13","Aphelocoma coerulescens",-1.50365336892113,0.321960851318337,-2.23201887623698,-1.984483198157
"14","Eulacestoma nigropectus",-1.11908677699745,-3.09269348010247,-1.9065627737491,-1.40800355985718
"15","Formicarius rufipectus",-1.50365336892113,-2.79714955752619,-1.56156540256907,-0.460183791412152
"16","Hylia prasina",-1.50365336892113,-2.37317944614305,-1.56156540256907,-0.606116702385569
"17","Malurus elegans",0.720399473377212,0.744587357867738,1.39472606732427,0.541386161450969
"18","Neopipo cinnamomea",0.82437449092137,-0.368282125826669,0.332082453082388,-0.797690881296969
"19","Pardalotus punctatus",-1.50365336892113,-2.6116657842832,-1.56156540256907,0.450579596797664
"20","Scytalopus superciliaris",-0.711429761986434,-0.29677849555676,-1.56156540256907,-0.0351759496819063
"21","Serilophus lunatus",-0.711429761986434,-1.54643204624746,-1.56156540256907,-0.000847131266078049
"22","Notiomystis cincta",-0.34745718792975,1.37718155147995,-1.25353787794082,-0.0340439468490402
"23","Drymodes brunneopygia",-0.456390725481153,-0.0178295886881206,-1.22466230374197,-0.332527964356908
"24","Cettia vulcania",-0.186213228335966,0.0385029550834797,-1.1693752619951,-0.983849026373844
"25","Nicator chloris",0.4095963496401,-0.605802235645851,0.273442687349232,0.14203937317882
"26","Parus atricapillus",-0.61994598428323,-1.30363713067662,-1.1693752619951,-0.480523255220699
"27","Pomatorhinus ruficollis",-0.248008659743581,-1.64804340995083,-1.1693752619951,-0.019681724358437
"28","Pachycephala philippinensis",-0.411563918545658,-0.47501133231312,-1.10694973838968,-0.427264457307015
"29","Rhodinocichla rosea",-0.018654683237909,-0.0439841588564667,-0.891111928901153,-0.0761917389955058
"30","Vireo altiloquus",-0.127588220789313,0.451202466079477,-1.02027149059266,-0.0740710624608663
"31","Psophodes occidentalis",-0.456390725481153,-0.161729629613032,-0.777185121421129,0.0703524250866085
"32","Tichodroma muraria",0.172277622651463,-0.0822692476573295,-0.777185121421129,-0.897980485982548
"33","Ifrita kowaldi",-0.248008659743581,0.663888261827689,-0.675274119412627,-0.54520310116157
"34","Oreocharis arfaki",-0.711429761986434,-0.366554969085776,-1.56156540256907,-0.74768656158579
"35","Pycnonotus jocosus",0.0807938449482592,-0.185379719910811,-0.675274119412627,0.23851802804896
