"","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc"
"3831",5660,"Acanthisitta chloris","Acanthisitta_chloris","Skeleton","New Zealand wrens","New Zealand wrens","Rifleman","bow05660","LC","BL3","Acanthisittidae","New Zealand wrens",98,"PASSERIFORMES","PASSERIFORMES","Tyranni"
"2251",3147,"Aegotheles bennettii","Aegotheles_bennettii","Aegothelidae","Owlet-Nightjars","Owlet-Nightjars","Barred Owlet-nightjar","bow03147","LC","BL3","Aegothelidae","Owlet-nightjars",76,"APODIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3184",4510,"Alca torda","Alca_torda","Lari","Gulls, Terns, Auks, Crab Plover","Gulls, Terns, Auks, Crab Plover","Razorbill","bow04510","LC","BL3","Alcidae","Auks",63,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"422",679,"Anas platyrhynchos","Anas_platyrhynchos","Anatinae","Ducks, Geese, Other Waterfowl, Screamers","Ducks, Geese, Other Waterfowl, Screamers","Mallard","bow00679","LC","BL3","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3703",5414,"Aptenodytes forsteri","Aptenodytes_forsteri","Spheniscidae","Penguins","Penguins","Emperor Penguin","bow05414","LC","BL3","Spheniscidae","Penguins",15,"SPHENISCIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3412",4864,"Aquila chrysaetos","Aquila_chrysaetos","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Golden Eagle","bow04864","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"917",1332,"Buceros rhinoceros","Buceros_rhinoceros","Bucerotidae","Hornbills","Hornbills, Woodhoopoes, Hoopoe","Rhinoceros Hornbill","bow01332","NT","BL3","Bucerotidae","Hornbills",91,"BUCEROTIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"947",1372,"Bucorvus abyssinicus","Bucorvus_abyssinicus","Bucerotidae","Hornbills","Hornbills, Woodhoopoes, Hoopoe","Abyssinian Ground-hornbill","bow01372","LC","BL3","Bucorvidae","Ground-hornbills",92,"BUCEROTIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"401",657,"Cairina moschata","Cairina_moschata","Anatinae","Ducks, Geese, Other Waterfowl, Screamers","Ducks, Geese, Other Waterfowl, Screamers","Muscovy Duck","bow00657","LC","BL3","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"4371",6322,"Cephalopterus ornatus","Cephalopterus_ornatus","Cotingidae","Cotingas","Cotingas","Amazonian Umbrellabird","bow06322","LC","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni"
"3185",4512,"Cepphus grylle","Cepphus_grylle","Lari","Gulls, Terns, Auks, Crab Plover","Gulls, Terns, Auks, Crab Plover","Black Guillemot","bow04512","LC","BL3","Alcidae","Auks",63,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"7157",10416,"Cisticola juncidis","Cisticola_juncidis","S10","Cisticolas, Allies","Cisticolas, Allies","Zitting Cisticola","bow10416","LC","BL3","Cisticolidae","Cisticolas and allies",159,"PASSERIFORMES","PASSERIFORMES","Passeri"
"5673",8156,"Cnemophilus loriae","Cnemophilus_loriae","CC1","Berrypeckers, Satinbirds, Allies","Berrypeckers, Satinbirds, Allies","Loria's Bird-of-paradise","bow08156","LC","BL3","Cnemophilidae","Satin birds",123,"PASSERIFORMES","PASSERIFORMES","Passeri"
"24",78,"Crypturellus cinnamomeus","Crypturellus_cinnamomeus","Paleognathae","Paleognaths","Paleognaths","Thicket Tinamou","bow00078","LC","BL3","Tinamidae","Tinamous",1,"TINAMIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"8002",11581,"Dicaeum eximium","Dicaeum_eximium","P2","Sunbirds, Flowerpeckers","Sunbirds, Flowerpeckers","Red-banded Flowerpecker","bow11581","LC","BL3","Dicaeidae","Flowerpeckers",181,"PASSERIFORMES","PASSERIFORMES","Passeri"
"7",48,"Dromaius novaehollandiae","Dromaius_novaehollandiae","Paleognathae","Paleognaths","Paleognaths","Emu","bow00048","LC","BL3","Dromaiidae","Emus",5,"CASUARIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"6120",8755,"Dulus dominicus","Dulus_dominicus","M2","Waxwings, Allies","Waxwings, Allies","Palmchat","bow08755","LC","BL3","Dulidae","Palmchat",153,"PASSERIFORMES","PASSERIFORMES","Passeri"
"3599",5199,"Egretta garzetta","Egretta_garzetta","Ardeidae","Herons","Ibises, Herons","Little Egret","bow05199","LC","BL3","Ardeidae","Herons and egrets",25,"PELECANIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"2664",3692,"Eurypyga helias","Eurypyga_helias","Skeleton","Sunbittern","Sunbittern","Sunbittern","bow03692","LC","BL3","Eurypygidae","Sunbittern",41,"EURYPYGIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"1005",1497,"Eurystomus gularis","Eurystomus_gularis","Coraciidae","Rollers, Ground-Rollers","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers","Blue-throated Roller","bow01497","LC","BL3","Coraciidae","Rollers",82,"CORACIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3697",5397,"Fregata magnificens","Fregata_magnificens","Fregatidae","Cormorants, Anhingas, Gannets, Frigatebirds","Cormorants, Anhingas, Gannets, Frigatebirds","Magnificent Frigatebird","bow05397","LC","BL3","Fregatidae","Frigatebirds",27,"SULIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"859",1248,"Galbula dea","Galbula_dea","Galbulidae","Jacamars","Puffbirds, Jacamars","Paradise Jacamar","bow01248","LC","BL3","Galbulidae","Jacamars",96,"PICIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3719",5440,"Gavia stellata","Gavia_stellata","Gaviidae","Loons","Loons","Red-throated Loon","bow05440","LC","BL3","Gaviidae","Loons or divers",16,"GAVIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3438",4909,"Herpetotheres cachinnans","Herpetotheres_cachinnans","Falconidae","Falcons, Caracaras","Falcons, Caracaras","Laughing Falcon","bow04909","LC","BL3","Falconidae","Falcons and caracaras",35,"FALCONIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"2988",4213,"Himantopus himantopus","Himantopus_himantopus","Charadrii","Waders, Allies","Waders, Allies","Black-winged Stilt","bow04213","LC","BL3","Recurvirostridae","Stilts and avocets",53,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"2964",4164,"Jacana jacana","Jacana_jacana","Scolopaci","Sandpipers, Jacanas, Seedsnipes, Allies","Sandpipers, Jacanas, Seedsnipes, Allies","Wattled Jacana","bow04164","LC","BL3","Jacanidae","Jacanas",56,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"8738",12517,"Melospiza melodia","Melospiza_melodia","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Song Sparrow","bow12517","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri"
"297",448,"Numida meleagris","Numida_meleagris","Numididae","Pheasants, Quail, Guineafowl","Pheasants, Quail, Guineafowl","Helmeted Guineafowl","bow00448","LC","BL3","Numididae","Guineafowl",9,"GALLIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"2268",3183,"Nyctibius grandis","Nyctibius_grandis","Nyctibiidae","Potoos","Potoos","Great Potoo","bow03183","LC","BL3","Nyctibiidae","Potoos",74,"CAPRIMULGIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"4079",5980,"Onychorhynchus coronatus","Onychorhynchus_coronatus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Amazonian Royal Flycatcher","bow05980","LC","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni"
"4379",6330,"Oxyruncus cristatus","Oxyruncus_cristatus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Sharpbill","bow06330","LC","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni"
"7835",11347,"Panurus biarmicus","Panurus_biarmicus","Skeleton","Bearded Reedling","Larks, Allies","Bearded Parrotbill","bow11347","LC","BL3","Timaliidae","Babblers and parrotbills",163,"PASSERIFORMES","PASSERIFORMES","Passeri"
"8150",11753,"Passer domesticus","Passer_domesticus","P8","Sparrows, Snowfinches, Allies","Sparrows, Snowfinches, Allies","House Sparrow","bow11753","LC","BL3","Passeridae","Sparrows, snowfinches and allies",183,"PASSERIFORMES","PASSERIFORMES","Passeri"
"3520",5048,"Phaethon lepturus","Phaethon_lepturus","Phaethontidae","Tropicbirds","Tropicbirds","White-tailed Tropicbird","bow05048","LC","BL3","Phaethontidae","Tropicbirds",26,"PHAETHONTIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3174",4489,"Phaetusa simplex","Phaetusa_simplex","Lari","Gulls, Terns, Auks, Crab Plover","Gulls, Terns, Auks, Crab Plover","Large-billed Tern","bow04489","LC","BL3","Laridae","Gulls and terns",61,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"2967",4174,"Pluvianellus socialis","Pluvianellus_socialis","Charadrii","Waders, Allies","Waders, Allies","Magellanic Plover","bow04174","NT","BL3","Chionidae","Sheathbills and allies",49,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
"3705",5416,"Pygoscelis adeliae","Pygoscelis_adeliae","Spheniscidae","Penguins","Penguins","Adelie Penguin","bow05416","LC","BL3","Spheniscidae","Penguins",15,"SPHENISCIFORMES","NONPASSERIFORMES","NONPASSERIFORMES"
